"itemId","target-truth","answer-rule","terminology-solfege","difficulty-progression","explanation","misconception-risk","findingId","notes"
"question:single-pitch:基础:pitch:g4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:基础:pitch:d4:short","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:基础:pitch:d4:brief","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:基础:pitch:c4:sustained","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:基础:pitch:c4:long","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:进阶:pitch:e4:brief","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:进阶:pitch:c4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:进阶:pitch:c4:brief","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:进阶:pitch:g4:sustained","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:进阶:pitch:c4:long","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:挑战:pitch:c-sharp-4:brief","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:挑战:pitch:c4:standard","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:挑战:pitch:a4:brief","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:挑战:pitch:c4:brief","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:single-pitch:挑战:pitch:a-sharp-4:standard","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:基础:interval:a4:major-third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:基础:interval:f4:major-third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:基础:interval:d4:perfect-fifth","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:基础:interval:g4:perfect-fourth","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:基础:interval:b4:perfect-fourth","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:进阶:interval:e4:major-third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:进阶:interval:g4:minor-second","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:进阶:interval:e4:minor-second","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:进阶:interval:g4:minor-third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:进阶:interval:d4:major-second","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:挑战:interval:e4:minor-seventh","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:挑战:interval:e4:tritone","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:挑战:interval:e4:major-third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:挑战:interval:c4:major-second","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:interval:挑战:interval:e4:minor-third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:基础:chord:f5:minor:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:基础:chord:g4:minor:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:基础:chord:e4:minor:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:基础:chord:d4:major:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:基础:chord:f5:major:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:进阶:chord:e4:diminished:first","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:进阶:chord:c4:augmented:first","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:进阶:chord:c4:major:first","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:进阶:chord:a4:major:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:进阶:chord:g4:diminished:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:挑战:chord:g4:major:first","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:挑战:chord:e4:augmented:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:挑战:chord:d4:minor:second","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:挑战:chord:e4:major:second","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:chord-inversion:挑战:chord:d4:diminished:second","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:基础:progression:f3:plagal-three","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:基础:progression:g3:authentic-three","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:基础:progression:c3:authentic-three","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:基础:progression:eb3:plagal-three","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:基础:progression:f3:authentic-three","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:进阶:progression:g3:pop-axis","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:进阶:progression:g3:turnaround","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:进阶:progression:c3:cadence-four","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:进阶:progression:f3:two-five-one","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:进阶:progression:c3:pop-axis","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:挑战:progression:a3:two-five-one","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:挑战:progression:d3:cadence-four","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:挑战:progression:eb3:deceptive","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:挑战:progression:eb3:pop-axis","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:harmony-progression:挑战:progression:eb3:turnaround","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:基础:scale:c4:major","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:基础:scale:g4:minor-pentatonic","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:基础:scale:b4:major-pentatonic","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:基础:scale:f4:major","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:基础:scale:d4:major","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:进阶:scale:gb4:mixolydian","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:进阶:scale:a4:mixolydian","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:进阶:scale:gb4:major","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:进阶:scale:db4:major-pentatonic","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:进阶:scale:eb4:major-pentatonic","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:挑战:scale:g4:natural-minor","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:挑战:scale:b4:harmonic-minor","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:挑战:scale:g4:lydian","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:挑战:scale:d4:melodic-minor-ascending","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:scale-mode:挑战:scale:eb4:melodic-minor-ascending","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:基础:seventh-chord:eb3:half-diminished-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:基础:seventh-chord:db3:major-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:基础:seventh-chord:bb3:major-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:基础:seventh-chord:ab3:major-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:基础:seventh-chord:b3:minor-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:进阶:seventh-chord:c3:half-diminished-seventh:first","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:进阶:seventh-chord:c3:dominant-seventh:first","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:进阶:seventh-chord:e3:dominant-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:进阶:seventh-chord:db3:half-diminished-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:进阶:seventh-chord:b3:dominant-seventh:first","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:挑战:seventh-chord:d3:half-diminished-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:挑战:seventh-chord:bb3:minor-seventh:root","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:挑战:seventh-chord:d3:dominant-seventh:third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:挑战:seventh-chord:c3:minor-seventh:third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord:挑战:seventh-chord:d3:half-diminished-seventh:third","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:基础:seventh-chord-spacing:ab3:major-seventh:root:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:基础:seventh-chord-spacing:bb3:major-seventh:root:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:基础:seventh-chord-spacing:f3:major-seventh:root:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:基础:seventh-chord-spacing:c3:major-seventh:root:open","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:基础:seventh-chord-spacing:db3:major-seventh:root:open","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:进阶:seventh-chord-spacing:bb3:minor-seventh:root:open","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:进阶:seventh-chord-spacing:d3:minor-seventh:root:open","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:进阶:seventh-chord-spacing:f3:major-seventh:root:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:进阶:seventh-chord-spacing:bb3:minor-seventh:root:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:进阶:seventh-chord-spacing:e3:major-seventh:root:open","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:挑战:seventh-chord-spacing:g3:half-diminished-seventh:root:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:挑战:seventh-chord-spacing:eb3:half-diminished-seventh:second:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:挑战:seventh-chord-spacing:b3:dominant-seventh:third:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:挑战:seventh-chord-spacing:b3:minor-seventh:first:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:seventh-chord-spacing:挑战:seventh-chord-spacing:f3:half-diminished-seventh:root:close","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:基础:modulation:c3:dominant:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:基础:modulation:d3:dominant:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:基础:modulation:e3:stay-tonic:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:基础:modulation:bb3:dominant:alternate-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:基础:modulation:a3:stay-tonic:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:进阶:modulation:g3:dominant:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:进阶:modulation:a3:stay-tonic:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:进阶:modulation:eb3:relative-minor:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:进阶:modulation:e3:relative-minor:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:进阶:modulation:g3:stay-tonic:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:挑战:modulation:e3:parallel-minor:alternate-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:挑战:modulation:f3:parallel-minor:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:挑战:modulation:a3:relative-minor:diatonic-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:挑战:modulation:ab3:stay-tonic:alternate-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:modulation:挑战:modulation:d3:dominant:alternate-predominant","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:基础:rhythm:even-quarters:bpm-104","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:基础:rhythm:outer-dense:bpm-104","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:基础:rhythm:front-dense:bpm-72","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:基础:rhythm:outer-dense:bpm-92","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:基础:rhythm:back-dense:bpm-92","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:进阶:rhythm:syncopated-bridge:bpm-100","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:进阶:rhythm:staggered-eighths:bpm-100","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:进阶:rhythm:syncopated-bridge:bpm-112","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:进阶:rhythm:even-quarters:bpm-88","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:进阶:rhythm:even-quarters","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:挑战:rhythm:staggered-eighths:bpm-120","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:挑战:rhythm:even-eighths:bpm-96","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:挑战:rhythm:front-dense:bpm-96","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:挑战:rhythm:even-quarters:bpm-96","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:rhythm:挑战:rhythm:even-quarters:bpm-120","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:基础:melody:up-step","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:基础:melody:basic-06-e4-d4-e4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:基础:melody:basic-15-e4-c4-d4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:基础:melody:basic-08-g4-e4-d4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:基础:melody:basic-07-d4-c4-d4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:进阶:melody:open-fifth","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:进阶:melody:advanced-09-a4-e4-d4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:进阶:melody:advanced-19-a4-c4-e4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:进阶:melody:advanced-15-e4-d4-a4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:进阶:melody:advanced-05-a4-g4-e4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:挑战:melody:challenge-08-f-sharp-4-e4-d4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:挑战:melody:challenge-20-c5-a4-f4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:挑战:melody:challenge-11-c4-g4-f-sharp-4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:挑战:melody:challenge-01-c4-d4-e4","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"question:melody-dictation:挑战:melody:challenge-19-b4-f-sharp-4-c5","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"course:00000000-0000-0000-0000-000000000001:00000000-0000-0000-0000-000000000101","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"course:00000000-0000-0000-0000-000000000001:00000000-0000-0000-0000-000000000102","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
"course:00000000-0000-0000-0000-000000000001:00000000-0000-0000-0000-000000000103","PENDING","PENDING","PENDING","PENDING","PENDING","PENDING","",""
